line	Date	date	Time	lat	long	alt	temp
184	5/23/2009	2009-05-23	16:30:41	45.6058019	-87.2558435	147.62	28
185	5/23/2009	2009-05-23	16:45:33	45.6058414	-87.2558356	133.54	26
186	5/23/2009	2009-05-23	17:00:34	45.6058027	-87.2558112	132.15	25
187	5/23/2009	2009-05-23	17:15:48	45.6058575	-87.2558631	169.57	24
188	5/23/2009	2009-05-23	17:30:10	45.605802	-87.2558716	153.21	24
189	5/23/2009	2009-05-23	17:45:21	45.605789	-87.2558594	153.23	24
190	5/23/2009	2009-05-23	18:00:20	45.6058333	-87.2558582	155.4	24
191	5/23/2009	2009-05-23	18:15:07	45.6058647	-87.2558301	153.39	24
192	5/23/2009	2009-05-23	18:30:36	45.6059059	-87.2559563	153.1	25
193	5/23/2009	2009-05-23	18:45:24	45.6058601	-87.2559076	153.89	26
194	5/23/2009	2009-05-23	19:00:09	45.6058171	-87.2557759	171.17	24
195	5/23/2009	2009-05-23	19:15:15	45.6058233	-87.2557906	176.09	24
196	5/23/2009	2009-05-23	19:30:41	45.6058173	-87.2557893	172.55	26
197	5/23/2009	2009-05-23	19:45:13	45.6057569	-87.2558198	146.93	27
198	5/23/2009	2009-05-23	20:00:10	45.6057724	-87.255863	129.85	27
199	5/23/2009	2009-05-23	20:15:15	45.605815	-87.2558557	147.61	26
200	5/23/2009	2009-05-23	20:30:10	45.6057816	-87.2558076	151.23	26
201	5/23/2009	2009-05-23	20:45:12	45.6053207	-87.2562272	149.61	22
202	5/23/2009	2009-05-23	21:00:12	45.6053535	-87.2562638	148.85	22
203	5/23/2009	2009-05-23	21:15:09	45.6053333	-87.2562412	153.84	22
204	5/23/2009	2009-05-23	21:30:22	45.6052943	-87.25619	149.68	21
205	5/23/2009	2009-05-23	21:45:25	45.6053121	-87.2561809	160.34	20
206	5/23/2009	2009-05-23	22:00:49	45.6053426	-87.2561285	161.22	19
207	5/23/2009	2009-05-23	22:15:23	45.6053534	-87.2560803	169.85	18
208	5/23/2009	2009-05-23	22:30:34	45.6053147	-87.25624	148.87	16
209	5/23/2009	2009-05-23	22:45:20	45.6053402	-87.2560687	171.28	15
210	5/23/2009	2009-05-23	23:00:20	45.6053178	-87.2561413	158.33	15
211	5/23/2009	2009-05-23	23:15:52	45.6053512	-87.2561888	153.29	14
212	5/23/2009	2009-05-23	23:32:34	45.605262	-87.2561943	156	14
213	5/23/2009	2009-05-23	23:48:07	45.6053586	-87.2562406	155.28	13
214	5/24/2009	2009-05-24	0:01:12	45.6053963	-87.2562126	153.98	13
215	5/24/2009	2009-05-24	0:15:45	45.6054456	-87.2562875	124.83	18
216	5/24/2009	2009-05-24	0:30:54	45.6053773	-87.2562132	153.25	22
217	5/24/2009	2009-05-24	0:45:12	45.6053959	-87.2562144	158.22	26
218	5/24/2009	2009-05-24	1:00:15	45.6053962	-87.2562272	158.19	28
219	5/24/2009	2009-05-24	1:15:47	45.6053639	-87.2562169	160.3	30
220	5/24/2009	2009-05-24	1:30:12	45.6052258	-87.2562864	157.14	23
221	5/24/2009	2009-05-24	1:45:06	45.6049837	-87.2562438	149.9	16
222	5/24/2009	2009-05-24	2:00:12	45.6050473	-87.2562547	152.78	12
223	5/24/2009	2009-05-24	2:15:23	45.6049633	-87.2562078	153.51	11
224	5/24/2009	2009-05-24	2:30:13	45.6049445	-87.2562078	151.37	12
225	5/24/2009	2009-05-24	2:45:16	45.6049386	-87.256234	152	13
226	5/24/2009	2009-05-24	3:00:12	45.6049454	-87.2562603	154.06	11
227	5/24/2009	2009-05-24	3:15:14	45.6049686	-87.2561987	162.74	12
228	5/24/2009	2009-05-24	3:30:24	45.6049069	-87.2562353	151.26	12
229	5/24/2009	2009-05-24	3:45:47	45.6048883	-87.2562627	153.29	11
230	5/24/2009	2009-05-24	4:00:11	45.6049206	-87.2562871	153.96	11
231	5/24/2009	2009-05-24	4:15:19	45.6048449	-87.2563023	151.01	12
232	5/24/2009	2009-05-24	4:30:20	45.6052949	-87.2562443	156.62	11
233	5/24/2009	2009-05-24	4:45:09	45.6053324	-87.2562315	160.94	12
234	5/24/2009	2009-05-24	5:00:22	45.6053707	-87.2562144	155.36	12
235	5/24/2009	2009-05-24	5:15:41	45.6053832	-87.256215	158.21	17
236	5/24/2009	2009-05-24	5:30:23	45.6053653	-87.2562388	151.76	22
237	5/24/2009	2009-05-24	5:45:33	45.6053824	-87.2562333	170.89	19
238	5/24/2009	2009-05-24	6:00:43	45.6053771	-87.2562284	158.87	17
239	5/24/2009	2009-05-24	6:15:22	45.6053878	-87.2561516	160.5	21
240	5/24/2009	2009-05-24	6:30:20	45.6053567	-87.2561498	152.69	22
241	5/24/2009	2009-05-24	6:45:09	45.6054029	-87.2561827	144.87	17
242	5/24/2009	2009-05-24	7:00:12	45.6052367	-87.256209	157.35	14
243	5/24/2009	2009-05-24	7:15:28	45.6052249	-87.2562193	150.24	14
244	5/24/2009	2009-05-24	7:30:41	45.6051681	-87.2562346	149.43	13
245	5/24/2009	2009-05-24	7:45:16	45.6051486	-87.256223	150.14	13
246	5/24/2009	2009-05-24	8:00:11	45.6051829	-87.2563095	146.41	14
247	5/24/2009	2009-05-24	8:15:15	45.6051678	-87.2562218	149.46	15
248	5/24/2009	2009-05-24	8:30:21	45.6050485	-87.2562346	135.85	17
249	5/24/2009	2009-05-24	8:45:07	45.6050737	-87.2562486	141.5	22
250	5/24/2009	2009-05-24	9:00:13	45.6051278	-87.2561755	156.61	24
251	5/24/2009	2009-05-24	9:15:09	45.605129	-87.2562267	156.48	28
252	5/24/2009	2009-05-24	9:30:10	45.6050644	-87.2561773	153.71	28
253	5/24/2009	2009-05-24	9:45:42	45.6058275	-87.2558704	153.24	25
254	5/24/2009	2009-05-24	10:00:11	45.6058449	-87.2558344	161.14	29
255	5/24/2009	2009-05-24	10:15:13	45.6057885	-87.2558619	158.88	29
256	5/24/2009	2009-05-24	10:30:10	45.6038502	-87.2551424	145.9	25
257	5/24/2009	2009-05-24	10:45:13	45.603231	-87.2550981	151.7	23
258	5/24/2009	2009-05-24	11:00:10	45.600827	-87.2568499	162.81	22
259	5/24/2009	2009-05-24	11:15:14	45.6009011	-87.2568999	198.14	22
260	5/24/2009	2009-05-24	11:30:21	45.6008289	-87.256898	155.61	21
261	5/24/2009	2009-05-24	11:45:09	45.6006244	-87.25687	156.87	26
